seed,rule,k,learning_rate,weight_error,oracle,cycles,clean_total,clean_kept,outliers_left,removed_clean_pos_noise,removed_clean_neg_noise,kept_clean_mean_noise
8,threshold,2.5,0.5,0.03471576002586964,0.009431332006626596,4,911,840,0,65,6,-0.013400030358653812
8,threshold,3.0,0.01,0.021567359247530286,0.009431332006626596,3,911,885,0,24,2,-0.006738093139399395
8,threshold,3.0,0.1,0.02157945441764889,0.009431332006626596,3,911,885,0,24,2,-0.006738093139399395
8,threshold,3.0,0.5,0.02160731412495302,0.009431332006626596,3,911,885,0,24,2,-0.006738093139399395
8,threshold,4.0,0.01,0.00946750325117804,0.009431332006626596,3,911,910,0,1,0,-0.0023038924516985567
8,threshold,4.0,0.1,0.009498854231598509,0.009431332006626596,3,911,910,0,1,0,-0.0023038924516985567
8,threshold,4.0,0.5,0.009471754425753128,0.009431332006626596,3,911,910,0,1,0,-0.0023038924516985567
9,ratio,2.5,0.01,0.029642596991627933,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,2.5,0.1,0.02970921023597211,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,2.5,0.5,0.02968342288331999,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,3.0,0.01,0.029642596991627933,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,3.0,0.1,0.02970921023597211,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,3.0,0.5,0.02968342288331999,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,4.0,0.01,0.029642596991627933,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,4.0,0.1,0.02970921023597211,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,ratio,4.0,0.5,0.02968342288331999,0.029397504113958774,3,895,810,0,50,35,-0.004496421284847179
9,threshold,2.5,0.01,0.07059570700011494,0.029397504113958774,4,895,797,0,90,8,-0.012783739484274002
9,threshold,2.5,0.1,0.07058645829111884,0.029397504113958774,5,895,797,0,90,8,-0.012783739484274002
9,threshold,2.5,0.5,0.07049894972862228,0.029397504113958774,5,895,797,0,90,8,-0.012783739484274002
9,threshold,3.0,0.01,0.045490272819076104,0.029397504113958774,3,895,867,0,27,1,-0.00603431405730798
9,threshold,3.0,0.1,0.045504739133615024,0.029397504113958774,3,895,867,0,27,1,-0.00603431405730798
9,threshold,3.0,0.5,0.04552329343906754,0.029397504113958774,3,895,867,0,27,1,-0.00603431405730798
9,threshold,4.0,0.01,0.029445075139446355,0.029397504113958774,2,895,895,0,0,0,-0.0009181781506854271
9,threshold,4.0,0.1,0.02939244388044148,0.029397504113958774,2,895,895,0,0,0,-0.0009181781506854271
9,threshold,4.0,0.5,0.029391995617286306,0.029397504113958774,2,895,895,0,0,0,-0.0009181781506854271
10,ratio,2.5,0.01,0.030173862007325535,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,2.5,0.1,0.030099484759715012,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,2.5,0.5,0.030134785134492584,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,3.0,0.01,0.030173862007325535,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,3.0,0.1,0.030099484759715012,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,3.0,0.5,0.030134785134492584,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,4.0,0.01,0.030173862007325535,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,4.0,0.1,0.030099484759715012,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,ratio,4.0,0.5,0.030134785134492584,0.017612959317624473,3,903,810,0,47,46,-0.004575327181871227
10,threshold,2.5,0.01,0.016747103258921533,0.017612959317624473,4,903,853,0,46,4,-0.01283801647243725
